City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Vaini,TO,82.24,overcast clouds,-21.2,-175.2,Keleti Beach Resort
10,Padang,ID,77.99,overcast clouds,-0.9492,100.3543,Mercure Padang
17,Arraial Do Cabo,BR,85.96,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
20,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
31,Sambava,MG,78.44,scattered clouds,-14.2667,50.1667,Melrose
34,Lorengau,PG,82.06,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
37,Progreso,MX,79.11,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
45,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Dingle,PH,75.65,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
50,Atuona,PF,77.14,clear sky,-9.8,-139.0333,Villa Enata
54,San Lorenzo,PY,86.94,broken clouds,-25.3333,-57.5333,Hotel del Sur
60,Rikitea,PF,77.49,light rain,-23.1203,-134.9692,People ThankYou
64,Ixtapa,MX,81.68,broken clouds,20.7,-105.2,Hotel Plaza Providencia
67,Mar Del Plata,AR,75.22,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
73,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
75,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
76,Santa Cruz,BO,84.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
86,Carutapera,BR,75.85,overcast clouds,-1.195,-46.02,Lidera
88,Isangel,VU,78.13,light rain,-19.55,169.2667,Tanna Lodge
93,Puerto Ayacucho,VE,89.38,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
101,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
124,Bambous Virieux,MU,80.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
126,The Valley,AI,81.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
127,Itupiranga,BR,82.72,overcast clouds,-5.1347,-49.3267,Hotel Panorama
129,Mubi,NG,80.08,clear sky,10.2676,13.2644,Hotel
140,Andros Town,BS,76.96,overcast clouds,24.7,-77.7667,Hanks place
143,Astorga,BR,75.43,overcast clouds,-23.2325,-51.6656,Rancho Jads
144,Embu,BR,78.35,overcast clouds,-23.6489,-46.8522,POUSADA DU VALLE - EMBU DAS ARTES - TABOÃO DA SERRA - ITAPECERICA DA SERRA - COTIA
145,Tecoanapa,MX,83.26,clear sky,16.5167,-98.75,Hotel Manglares
149,Paragominas,BR,79.52,overcast clouds,-2.9667,-47.4833,INOVA
151,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
152,Formosa,AR,87.78,scattered clouds,-26.1775,-58.1781,Hotel Portal del Sol
155,Mercedes,AR,79.52,clear sky,-34.6515,-59.4307,Posada del Inti Centro
157,Tabou,CI,83.93,scattered clouds,4.423,-7.3528,hotêl doufoulougou
162,Samana,DO,79.02,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
165,Podor,MR,89.55,clear sky,16.6527,-14.9587,Auberge Du Tékrour
171,Dunmore Town,BS,75.27,overcast clouds,25.5,-76.65,Coral Sands Hotel
174,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
175,Hithadhoo,MV,81.23,scattered clouds,-0.6,73.0833,Scoop Guest House
180,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
187,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
189,Bandarbeyla,SO,75.99,scattered clouds,9.4942,50.8122,JABIR HOTEL
190,Rio Grande,BR,77.11,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
193,Sechura,PE,80.76,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
196,Innisfail,AU,76.08,overcast clouds,-17.5333,146.0333,Moondarra Motel
198,Kalianget,ID,78.66,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
211,Porto Novo,BJ,87.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
214,Tela,HN,85.08,scattered clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
217,Benguela,AO,80.19,broken clouds,-12.5763,13.4055,Hotel Praia Morena
225,Kavaratti,IN,80.96,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
227,Eyl,SO,75.27,broken clouds,7.9803,49.8164,Amiin Hotel
231,Bubaque,GW,79.43,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
232,Celestun,MX,76.44,broken clouds,20.8667,-90.4,Posada Lilia
233,General Roca,AR,84.6,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
236,Takoradi,GH,83.44,overcast clouds,4.8845,-1.7554,Raybow International Hotel
237,Quatre Cocos,MU,80.71,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
240,Nortelandia,BR,80.8,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
247,Karratha,AU,79.72,clear sky,-20.7377,116.8463,ibis Styles Karratha
250,Faanui,PF,81.05,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
254,Duartina,BR,85.35,overcast clouds,-22.4144,-49.4039,Hotel Mattos Guimaro
258,Byron Bay,AU,75.09,light rain,-28.65,153.6167,Backpackers Inn
261,Cabedelo,BR,86.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
264,Bagotville,AU,75.02,broken clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
269,Buala,SB,79.3,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
272,Butaritari,KI,81.66,light rain,3.0707,172.7902,Isles Sunset Lodge
273,Bengkulu,ID,76.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
278,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
281,Alofi,NU,82.26,few clouds,-19.0595,-169.9187,Taloa Heights
283,Cukai,MY,75.33,clear sky,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
285,Kualakapuas,ID,75.36,overcast clouds,-3.0091,114.3876,Guest House Izonk
291,Namatanai,PG,78.91,light rain,-3.6667,152.4333,Seagulls Inn Namatani
293,Sola,VU,80.64,light rain,-13.8833,167.55,Leumerus Bungalows
294,Grand Gaube,MU,79.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
301,Nieuw Amsterdam,SR,84.15,broken clouds,5.8833,-55.0833,Hotel Stardust
304,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
305,Dakar,SN,79.68,clear sky,14.6937,-17.4441,Redface Studios Meublés
308,Port Moresby,PG,76.23,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
311,Urucara,BR,85.42,moderate rain,-2.5364,-57.76,Pousada Maria Bonita
319,Sao Miguel Do Araguaia,BR,79.11,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
322,Moroni,KM,78.55,broken clouds,-11.7022,43.2551,Hotel les Arcades
329,Kendari,ID,76.53,overcast clouds,-3.945,122.4989,Hotel Wixel
335,Manokwari,ID,78.37,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
340,Tomatlan,MX,82.94,overcast clouds,19.9333,-105.25,El Salvial
341,Garowe,SO,76.33,broken clouds,8.4054,48.4845,Curubo Hotel
343,Sinnamary,GF,79.02,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
344,Ranong,TH,75.42,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
365,Lekoni,GA,89.33,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
369,Catamarca,AR,83.77,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
373,Gashua,NG,76.23,few clouds,12.871,11.0482,Forte Oil - Old Lorry Park
377,Pedasi,PA,81.54,scattered clouds,7.5333,-80.0333,Selina Pedasi
385,Kavieng,PG,81.5,light rain,-2.5744,150.7967,Nusa Island Retreat
389,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
390,Port Blair,IN,79.5,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
394,Saint-Georges,GD,80.04,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
395,Salgar,CO,81.14,broken clouds,5.965,-75.9654,TRITURADOS PEÑA LISA
397,Cap Malheureux,MU,79.29,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
398,Rawson,AR,81.45,few clouds,-43.3002,-65.1023,Hosteria Sampedro
403,Owando,CG,85.91,few clouds,-0.4819,15.8999,Exaunel Hotel Owando
413,Hobyo,SO,77.49,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
425,Sao Jose Da Coroa Grande,BR,84.0,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
428,Hambantota,LK,76.84,broken clouds,6.1241,81.1185,Bungalow 63
432,Vao,NC,78.98,light rain,-22.6667,167.4833,Hotel Kou-Bugny
433,Meulaboh,ID,79.7,broken clouds,4.1363,96.1285,Kost Pria
439,Tirumullaivasal,IN,78.28,overcast clouds,11.2333,79.8333,Almupaark complex
445,Prado,BR,83.03,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
451,Marsh Harbour,BS,75.11,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
454,Antalaha,MG,75.49,few clouds,-14.9003,50.2788,Hotel Vitasoa
461,Sao Sebastiao,BR,78.71,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
467,Kirakira,SB,79.59,moderate rain,-10.4544,161.9205,SanBiz Lodge
471,Vila Velha,BR,87.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
479,Bull Savanna,JM,79.99,clear sky,17.8868,-77.5902,Big Red's
480,Vanimo,PG,77.38,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
482,Mayumba,GA,78.78,light rain,-3.432,10.6554,LIKWALE LODGE
483,Manjacaze,MZ,80.44,few clouds,-24.7117,33.8828,Hotel Gani
487,Cockburn Town,TC,77.97,few clouds,21.4612,-71.1419,Osprey Beach Hotel
488,Mana,GF,81.45,broken clouds,5.6592,-53.7767,LE SAMANA
493,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
500,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
501,Aquiraz,BR,80.22,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
502,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
505,Coahuayana,MX,85.48,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
513,Pauini,BR,81.43,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
516,Auki,SB,76.87,light rain,-8.7676,160.7034,Auki Motel
517,Moron,AR,79.02,clear sky,-34.6534,-58.6198,Hotel Morón
520,Ubatuba,BR,80.94,overcast clouds,-23.4339,-45.0711,Hotel Coquille
527,Santa Rosa,PH,81.1,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
540,Saint-Leu,RE,77.86,overcast clouds,-21.15,55.2833,La Caz Oceane
541,Itacare,BR,83.44,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
545,Cikupa,ID,79.36,light rain,-6.2364,106.5083,Amaris Hotel Citra Raya - Tangerang
551,Lima,PE,76.14,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
558,Parobe,BR,80.26,broken clouds,-29.6286,-50.8347,Ecoland
561,Bathsheba,BB,78.75,broken clouds,13.2167,-59.5167,Atlantis Hotel
562,Rock Sound,BS,76.06,overcast clouds,24.9,-76.2,Pink Corral Bay Property
563,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
566,Villa Altagracia,DO,85.51,clear sky,18.673,-70.171,La Maison de AAVA
572,Gold Coast,AU,75.0,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
575,Tonantins,BR,85.26,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
577,Omboue,GA,80.76,broken clouds,-1.5746,9.2618,Hotel Olako
580,Inongo,CD,81.86,broken clouds,-1.95,18.2667,Hotel Du Lac
581,Itaueira,BR,80.33,light rain,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
584,Kieta,PG,78.84,light rain,-6.2167,155.6333,Uruna Bay Retreat
585,Caravelas,BR,86.27,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
591,Manzanillo,CU,84.47,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
594,Pitimbu,BR,84.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
599,Harper,LR,83.64,broken clouds,4.375,-7.7169,Screensaver
600,Srandakan,ID,76.3,overcast clouds,-7.9386,110.2506,Puri Brata
601,Mumford,GH,82.98,overcast clouds,5.2618,-0.759,Spanish Villa
607,Presidente Epitacio,BR,77.02,overcast clouds,-21.7633,-52.1156,Hotel Itaverá
615,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
617,Kloulklubed,PW,81.05,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
618,Matara,LK,76.75,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
625,Naifaru,MV,81.64,few clouds,5.4444,73.3657,Naifaru Residence Guest House
628,Rivadavia,AR,82.45,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
630,Bonoua,CI,85.62,scattered clouds,5.2741,-3.595,Hotel Bon Samaritian
631,Villahermosa,MX,77.07,overcast clouds,17.9833,-92.9167,Olmeca Plaza
633,Entre Rios,BR,83.59,moderate rain,-11.9419,-38.0844,Pousada Porteira
638,Eldorado,BR,75.07,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
639,Honiara,SB,77.54,moderate rain,-9.4333,159.95,Heritage Park Hotel
641,Jacmel,HT,85.84,clear sky,18.2342,-72.5347,Historic Hotel Florita
642,Cairns,AU,75.07,light intensity shower rain,-16.9167,145.7667,Mantra Trilogy Cairns
645,Linares,CL,86.27,clear sky,-35.85,-71.6,Hotel Real
650,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
654,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
656,Vieques,PR,85.17,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
657,Salinopolis,BR,76.55,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
658,Maragogi,BR,84.02,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
661,Labuhan,ID,78.12,moderate rain,-6.8844,112.2051,DoubleFAG
663,Panaba,MX,81.7,few clouds,21.2833,-88.2667,Hotel California
666,Moerai,PF,79.18,scattered clouds,-22.4333,-151.3333,Le Manotel
670,Tahoua,NE,80.24,clear sky,14.8888,5.2692,Bungalows Guesthouse
677,Yulara,AU,82.24,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
682,Puerto Escondido,MX,83.97,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
683,Coxim,BR,77.76,overcast clouds,-18.5067,-54.76,Hotel Avenida
685,Bac Lieu,VN,75.97,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
695,Phangnga,TH,80.64,scattered clouds,8.4509,98.5298,Sunimit Mansion
696,Indiaroba,BR,86.59,broken clouds,-11.5192,-37.5117,Pura Vida Bahia
702,Oriximina,BR,85.08,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
706,San Antero,CO,85.96,scattered clouds,9.3741,-75.7589,Villamarina Inn chale
711,Pak Phanang,TH,78.33,broken clouds,8.3511,100.202,Green Park Inn Hotel
714,Lahad Datu,MY,76.55,overcast clouds,5.0268,118.327,The 27th House
717,Paita,PE,79.36,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
719,Guaruja,BR,82.89,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
720,Paptalaya,HN,82.44,overcast clouds,15.5,-84.3167,Hospedaje Ingnika
724,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
726,Riachao Das Neves,BR,82.49,few clouds,-11.7461,-44.91,Casa Costa
728,Basco,PH,78.69,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
730,Manggar,ID,78.8,overcast clouds,-2.8833,108.2667,Guest Hotel
